Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sneakers,Low-Top"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sandals & slides"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Slippers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sandals & slides"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,Low-Top"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Boots,Ankle boots"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Derby"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Boots,Chelsea boots"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Boots,Chelsea boots"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Oxford"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sneakers,Low-Top"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Loafers"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Boots,Ankle boots"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Loafers"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Formal shoes,Derby"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sandals & slides"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Loafers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Boots,Ankle boots"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Formal shoes,Derby"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Low-Top"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Acne Studios,Shoes,Boots,Ankle boots"
2,product_name,string,Acne Studios
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Chelsea boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Derby Shoes"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Formal shoes,Brogues"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Boots,Lace up boots"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Formal shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sandals & slides"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Loafers"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Loafers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Ami Paris,Shoes,Sneakers,Low-Top"
2,product_name,string,Ami Paris
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sneakers,Low-Top"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Chelsea boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Boots,Chelsea boots"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Derby"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Loafers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Boots,Ankle boots"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Boots,Chelsea boots"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Espadrilles"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Low-Top"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Low-Top"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,High-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Loro Piana,Shoes,Slippers"
2,product_name,string,Loro Piana
1,breadcrumbs,list,"Men,Designers,Visvim,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Visvim
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Formal shoes,Loafers"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Loafers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Loafers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sandals & slides"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sneakers,Low-Top"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Slippers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sandals & slides"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sandals & slides"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Low-Top"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Slippers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sandals & slides"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Espadrilles"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sandals & slides"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sneakers,Low-Top"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Oxford"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Thom Browne,Shoes,Derby Shoes"
2,product_name,string,Thom Browne
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Slippers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sandals & slides"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Thom Browne,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Thom Browne
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Thom Browne,Shoes,Loafers"
2,product_name,string,Thom Browne
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Low-Top"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Loafers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sandals & slides"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Low-Top"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
1,breadcrumbs,list,"Men,Designers,Acne Studios,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
2,product_name,string,Acne Studios
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Formal shoes,Brogues"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Loafers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Low-Top"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sandals & slides"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sandals & slides"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Espadrilles"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Low-Top"
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Derby Shoes"
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Loafers"
2,product_name,string,Bottega Veneta
2,product_name,string,Brunello Cucinelli
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Loafers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sandals & slides"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Formal shoes,Monk strap"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Low-Top"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Boots,Ankle boots"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Loafers"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Espadrilles"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Boots,Chelsea boots"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Low-Top"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Low-Top"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sandals & slides"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Espadrilles"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Boots,Ankle boots"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sandals & slides"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Ami Paris,Shoes,Sneakers,Low-Top"
2,product_name,string,Ami Paris
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Low-Top"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sandals & slides"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Loafers"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Espadrilles"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sneakers,Low-Top"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Brioni,Shoes,Formal shoes,Monk strap"
2,product_name,string,Brioni
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Loafers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Derby Shoes"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Acne Studios,Shoes,Sneakers,Low-Top"
2,product_name,string,Acne Studios
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sandals & slides"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Boots,Lace up boots"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sandals & slides"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Formal shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Low-Top"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Loafers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sneakers,Low-Top"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Formal shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Brioni,Shoes,Boots,Lace up boots"
2,product_name,string,Brioni
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,Low-Top"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Espadrilles"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Loafers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Slippers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Low-Top"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Boots,Chelsea boots"
2,product_name,string,Zegna
